Manufacturer,PermitNumber,VINNUMBER,AnnualTotalofDisengagements,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,ANNUALTOTAL
CRUISE LLC,AVT008,5G21A6S04K40122EX,2,364.2589301,322.2257168,0,1125.475945,1298.806875,1715.620638,174.7506229,0,0,0,0,0,5001.138728
CRUISE LLC,AVT008,5G21A6S04K40093EX,0,350.395557,168.1273048,49.13683931,212.1829493,410.5426172,0,0,0,0,0,0,0,1190.385268
CRUISE LLC,AVT008,5G21A6S06K40053EX,0,329.2661306,323.4014847,137.8097176,187.4602672,312.031798,0,29.81656952,24.87406509,0,0,0,0,1344.660033
CRUISE LLC,AVT008,5G21A6S06K40047EX,0,316.8675922,591.6397366,1492.081977,1147.24996,1264.744534,1377.323853,1644.035602,484.1960411,0,0,0,0,8318.139296
CRUISE LLC,AVT008,5G21A6S01K40101EX,0,303.7099181,184.2902671,183.3733641,167.080892,435.3761394,0,0.041002655,0.547263662,0,0,0,0,1274.418847
CRUISE LLC,AVT008,5G21A6S08K40065EX,1,279.6696653,598.7484909,452.1593109,394.9364933,371.631621,368.0481726,158.7476438,0,0,0,0,0,2623.941398
CRUISE LLC,AVT008,5G21A6S09K40051EX,0,277.7389411,426.4870881,10.57740494,115.8962238,298.8036933,225.0875665,87.36935285,0,0,0,0,0,1441.960271
CRUISE LLC,AVT008,5G21A6S03K40049EX,0,262.5725894,127.1001548,159.8897144,284.6715186,569.1415713,236.1831309,16.01142196,0,0,0,0,0,1655.570101
CRUISE LLC,AVT008,5G21A6S04K40041EX,0,260.7534535,656.7869038,549.9185741,4.799458153,376.0652371,35.45109725,0,0,0,0,0,0,1883.774724
CRUISE LLC,AVT008,5G21A6S09K40080EX,0,223.5642056,388.6038347,54.137253,88.47613633,0,415.6834091,1.496404767,0,0,0,0,0,1171.961243
CRUISE LLC,AVT008,5G21A6S08K40042EX,0,211.8479004,411.6483886,407.2112137,104.2012211,0,0,0,0,0,0,0,0,1134.908724
CRUISE LLC,AVT008,5G21A6S02K40046EX,0,178.8684871,259.8122609,245.6392801,166.6979924,226.5467612,382.0324127,70.79517137,0,0,0,0,0,1530.392366
CRUISE LLC,AVT008,5G21A6S04K40087EX,0,162.8529898,1022.665178,1397.955478,1628.612284,1689.30164,1798.836217,1542.189371,269.0166619,0,0,0,0,9511.429819
CRUISE LLC,AVT008,5G21A6S07K40056EX,0,162.8347447,387.0365091,44.61401653,0,0,0,0,0,0,0,0,0,594.4852704
CRUISE LLC,AVT008,5G21A6S09K40103EX,0,142.1381685,0,59.68298697,15.04405267,0,0,0,0,0,0,0,0,216.8652081
CRUISE LLC,AVT008,5G21A6S01K40066EX,0,133.2402252,319.9677898,132.7121182,222.4029051,574.9953064,243.5394508,0,0,0,0,0,0,1626.857796
CRUISE LLC,AVT008,5G21A6S05K40067EX,0,101.9685949,190.3030593,64.58963741,28.4416414,56.6768308,38.86484185,0,0,0,0,0,0,480.8446057
CRUISE LLC,AVT008,5G21A6S07K40091EX,0,98.71218599,574.10404,660.8500018,0,1772.211748,1217.779628,0,0,0,0,0,0,4323.657604
CRUISE LLC,AVT008,5G21A6S05K40038EX,0,76.75746722,143.9064824,62.24359844,111.0491927,0,0,0,0,0,0,0,0,393.9567407
CRUISE LLC,AVT008,5G21A6S0XK40077EX,0,68.08715576,83.40246645,248.5361663,240.1060654,0,0,0,0,0,0,0,0,640.1318539
CRUISE LLC,AVT008,5G21A6S07K40079EX,0,57.04060348,13.76818565,83.4353553,177.3835063,100.8806518,277.3218257,0,0,0,0,0,0,709.8301283
CRUISE LLC,AVT008,5G21A6S0XK40106EX,0,52.66995353,449.3488311,381.0557542,479.4438636,490.3401982,185.1641653,0,0,0,0,0,0,2038.022766
CRUISE LLC,AVT008,5G21A6S02K40075EX,1,51.72284074,188.6254161,602.5590355,0.180563165,261.2545636,393.7301651,246.8455703,0,0,0,0,0,1744.918155
CRUISE LLC,AVT008,5G21A6S05K40096EX,0,46.63531555,44.88551257,201.4901508,411.3704147,231.1351342,78.06470482,0,0,0,0,0,0,1013.581233
CRUISE LLC,AVT008,5G21A6S02K40098EX,1,37.81673896,1663.155419,1451.842876,1709.803111,1850.17815,1326.851535,485.8600975,0,0,0,0,0,8525.507927
